Library,Distance_km,Bray_Curtis
S11INL-S13LMK,131.11,0.83664439
S11INL-S14MPL,45.36,0.727141318
S11INL-S15PAR,123.17,0.768229655
S11INL-S16PCT,130.24,0.727918353
S11INL-S17PTF,146.29,0.94542947
S11INL-S18RBY,146.21,0.727141318
S11INL-S19TCF,149.1,0.928065165
S11INL-S20WHT,31.6,0.934230329
S12KNP-S13LMK,6.4,0.624700023
S12KNP-S14MPL,90.49,0.592370997
S12KNP-S15PAR,14.96,0.766582011
S12KNP-S16PCT,12.2,0.692392485
S12KNP-S17PTF,35.28,0.884800082
S12KNP-S18RBY,25.34,0.52103364
S12KNP-S19TCF,37.56,0.725706591
S12KNP-S20WHT,106.58,0.934230329
S13LMK-S14MPL,86.15,0.746559983
S13LMK-S15PAR,8.9,0.871961088
S13LMK-S16PCT,6.17,0.800514761
S13LMK-S17PTF,31.74,0.88402148
S13LMK-S18RBY,22.96,0.586068086
S13LMK-S19TCF,34.29,0.497734787
S13LMK-S20WHT,102.01,0.933831326
S14MPL-S15PAR,78.07,0.246741705
S14MPL-S16PCT,85.03,0.164536256
S14MPL-S17PTF,101.22,0.884800082
S14MPL-S18RBY,100.86,0.220219198
S14MPL-S19TCF,104.05,0.847566551
S14MPL-S20WHT,16.59,0.934230329
S15PAR-S16PCT,7.21,0.233102023
S15PAR-S17PTF,32.27,0.745777094
S15PAR-S18RBY,26.14,0.410673781
S15PAR-S19TCF,35.18,0.72841279
S15PAR-S20WHT,93.76,0.935971446
S16PCT-S17PTF,26.77,0.913567153
S16PCT-S18RBY,19.33,0.334232851
S16PCT-S19TCF,29.45,0.896202848
S16PCT-S20WHT,100.56,0.934230329
S17PTF-S18RBY,19.34,0.88402148
S17PTF-S19TCF,2.99,0.426313292
S17PTF-S20WHT,115.19,0.976925831
S18RBY-S19TCF,12.74,0.677716287
S18RBY-S20WHT,115.67,0.933932933
S19TCF-S20WHT,117.91,0.959773129
