,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0.686302509,0.945442348,0.513632253,0.701778857,0.654291068,0.951209202,0.531744776,0.718799695,0.86121956,0.907344829,0.708014694,0.706375535,0.820609602,0.713464092,0.876259547,0.61067405,0.689345111,0.408245614,0.944729351
2,0.686302509,0,0.966127326,0.547956001,0.039909384,0.078042608,0.965363219,0.175103354,0.960276687,0.959638868,0.95717779,0.95717779,0.956542503,0.95717779,0.725853569,0.95717779,0.096550783,0.956935989,0.505499771,0.959838254
3,0.945442348,0.966127326,0,0.57872806,0.991748048,0.917272874,0.053602944,0.980161109,0.968649105,0.728889716,0.77147545,0.765954866,0.874077142,0.1983706,0.244005466,0.097418731,0.989763601,0.364074155,0.972399297,0.946874889
4,0.513632253,0.547956001,0.57872806,0,0.564529892,0.480318906,0.577624542,0.43863139,0.931450764,0.633860359,0.739675837,0.738028193,0.844948982,0.542017266,0.337488021,0.542017266,0.541667547,0.536045366,0.484189327,0.933445386
5,0.701778857,0.039909384,0.991748048,0.564529892,0,0.112873287,0.991333632,0.170982096,0.991748048,0.974944738,0.991556234,0.991748048,0.990678621,0.991748048,0.758664985,0.991748048,0.107089317,0.985776148,0.517428363,0.991544574
6,0.654291068,0.078042608,0.917272874,0.480318906,0.112873287,0,0.916290173,0.175051556,0.941317455,0.902322257,0.879650098,0.890055611,0.891656728,0.890055611,0.676746918,0.890055611,0.083863392,0.889762012,0.487180246,0.933814329
7,0.951209202,0.965363219,0.053602944,0.577624542,0.991333632,0.916290173,0,0.979746693,0.967960003,0.727786198,0.771714071,0.772461107,0.880168967,0.250226122,0.243316365,0.101290904,0.988660083,0.413743781,0.971295779,0.945888391
8,0.531744776,0.175103354,0.980161109,0.43863139,0.170982096,0.175051556,0.979746693,0,0.980209444,0.890211562,0.980161109,0.980161109,0.979091683,0.980161109,0.747078046,0.980161109,0.186139691,0.974189209,0.481649698,0.980244152
9,0.718799695,0.960276687,0.968649105,0.931450764,0.991748048,0.941317455,0.967960003,0.980209444,0,0.962148398,0.924314973,0.721956399,0.098654244,0.843816359,0.957745661,0.892452657,0.884800082,0.679937996,0.498804214,0.95524545
10,0.86121956,0.959638868,0.728889716,0.633860359,0.974944738,0.902322257,0.727786198,0.890211562,0.962148398,0,0.141762936,0.769741329,0.873764216,0.722417043,0.723879677,0.722417043,0.982512328,0.716445143,0.925034108,0.940068772
11,0.907344829,0.95717779,0.77147545,0.739675837,0.991556234,0.879650098,0.771714071,0.980161109,0.924314973,0.141762936,0,0.730169757,0.83664439,0.727141318,0.768229655,0.727918353,0.94542947,0.727141318,0.928065165,0.934230329
12,0.708014694,0.95717779,0.765954866,0.738028193,0.991748048,0.890055611,0.772461107,0.980161109,0.721956399,0.769741329,0.730169757,0,0.624700023,0.592370997,0.766582011,0.692392485,0.884800082,0.52103364,0.725706591,0.934230329
13,0.706375535,0.956542503,0.874077142,0.844948982,0.990678621,0.891656728,0.880168967,0.979091683,0.098654244,0.873764216,0.83664439,0.624700023,0,0.746559983,0.871961088,0.800514761,0.88402148,0.586068086,0.497734787,0.933831326
14,0.820609602,0.95717779,0.1983706,0.542017266,0.991748048,0.890055611,0.250226122,0.980161109,0.843816359,0.722417043,0.727141318,0.592370997,0.746559983,0,0.246741705,0.164536256,0.884800082,0.220219198,0.847566551,0.934230329
15,0.713464092,0.725853569,0.244005466,0.337488021,0.758664985,0.676746918,0.243316365,0.747078046,0.957745661,0.723879677,0.768229655,0.766582011,0.871961088,0.246741705,0,0.233102023,0.745777094,0.410673781,0.72841279,0.935971446
16,0.876259547,0.95717779,0.097418731,0.542017266,0.991748048,0.890055611,0.101290904,0.980161109,0.892452657,0.722417043,0.727918353,0.692392485,0.800514761,0.164536256,0.233102023,0,0.913567153,0.334232851,0.896202848,0.934230329
17,0.61067405,0.096550783,0.989763601,0.541667547,0.107089317,0.083863392,0.988660083,0.186139691,0.884800082,0.982512328,0.94542947,0.884800082,0.88402148,0.884800082,0.745777094,0.913567153,0,0.88402148,0.426313292,0.976925831
18,0.689345111,0.956935989,0.364074155,0.536045366,0.985776148,0.889762012,0.413743781,0.974189209,0.679937996,0.716445143,0.727141318,0.52103364,0.586068086,0.220219198,0.410673781,0.334232851,0.88402148,0,0.677716287,0.933932933
19,0.408245614,0.505499771,0.972399297,0.484189327,0.517428363,0.487180246,0.971295779,0.481649698,0.498804214,0.925034108,0.928065165,0.725706591,0.497734787,0.847566551,0.72841279,0.896202848,0.426313292,0.677716287,0,0.959773129
20,0.944729351,0.959838254,0.946874889,0.933445386,0.991544574,0.933814329,0.945888391,0.980244152,0.95524545,0.940068772,0.934230329,0.934230329,0.933831326,0.934230329,0.935971446,0.934230329,0.976925831,0.933932933,0.959773129,0
